lidn|anco
LID, lokalt anpassat|Analyskod
20671667|MMA
20671667|Hcy
69617541|Hcy
89622979|Hcy
20714415|MMA
20714415|Hcy
69622042|MMA
2067667|MMA
2067667|Hcy
6961541|Hcy
8962979|Hcy
2071415|MMA
2071415|Hcy
6962042|MMA
206766799|MMA
206766799|Hcy
696154199|Hcy
896297999|Hcy
207141599|MMA
207141599|Hcy
696204299|MMA
90671667|MMA
90671667|Hcy
99617541|Hcy
99622979|Hcy
90714415|MMA
90714415|Hcy
99622042|MMA
9067667|MMA
9067667|Hcy
9961541|Hcy
9962979|Hcy
9071415|MMA
9071415|Hcy
9962042|MMA
906766799|MMA
906766799|Hcy
996154199|Hcy
996297999|Hcy
907141599|MMA
907141599|Hcy
996204299|MMA
890714415|MMA
890714415|Hcy
899622042|MMA
89067667|MMA
89067667|Hcy
89961541|Hcy
89962979|Hcy
89071415|MMA
89071415|Hcy
89962042|MMA
8906766799|MMA
8906766799|Hcy
8996154199|Hcy
8996297999|Hcy
8907141599|MMA
8907141599|Hcy
8996204299|MMA
